ID	BEST_STATISTICS	BEST_SPLIT	P-VALUE	FDR	DIRECTION	HAZARD_RATIO	MORTALITY_RATIO_1YR	MORTALITY_RATIO_2YR	MORTALITY_RATIO_5YR
LDLRAD3-201	31.506708	277	6.000000e-06	2.455059e-02	low expression survived longer	3.643669e-01	1.374690e+00	1.247111e+00	1.096286e+00
FAM83A-201	31.237350	366	6.000000e-06	2.455059e-02	low expression survived longer	2.320745e-01	1.957219e+00	1.235516e+00	1.088360e+00
SLC47A1-201	31.018172	73	7.000000e-06	2.529455e-02	high expression survived longer	4.091173e+00	5.761374e-01	7.564345e-01	8.964259e-01
RPL10P19-202	30.676216	84	7.000000e-06	2.529455e-02	high expression survived longer	3.440637e+00	5.517241e-01	8.979310e-01	9.172414e-01
GALNT2-201	30.489373	359	8.000000e-06	2.529455e-02	low expression survived longer	2.487846e-01	1.735697e+00	1.288624e+00	1.077234e+00
AVEN-201	30.400817	310	8.000000e-06	2.529455e-02	low expression survived longer	3.438996e-01	1.291320e+00	1.028493e+00	1.072860e+00
LDHA-223	30.487412	319	8.000000e-06	2.529455e-02	low expression survived longer	3.221412e-01	1.733426e+00	1.264292e+00	1.090476e+00
DKK1-201	29.637569	367	1.200000e-05	3.229571e-02	low expression survived longer	2.441945e-01	1.669989e+00	1.293910e+00	1.066302e+00
MIEF1-201	29.821788	364	1.200000e-05	3.229571e-02	low expression survived longer	2.288951e-01	1.213333e+00	1.295975e+00	1.151899e+00
C1QTNF6-201	29.610270	309	1.200000e-05	3.229571e-02	low expression survived longer	3.444418e-01	1.614983e+00	1.216598e+00	1.073987e+00
SAMM50-201	29.287522	315	1.300000e-05	3.229571e-02	low expression survived longer	3.327996e-01	1.118343e+00	1.254181e+00	1.122623e+00
FAM83A-202	29.212364	365	1.300000e-05	3.229571e-02	low expression survived longer	2.476743e-01	2.032747e+00	1.248445e+00	1.089552e+00
FCRL2-202	29.201936	74	1.300000e-05	3.229571e-02	high expression survived longer	3.397620e+00	7.441341e-01	9.277641e-01	9.605652e-01
LETM2-215	29.020840	361	1.400000e-05	3.260625e-02	low expression survived longer	2.543966e-01	1.694836e+00	1.298172e+00	1.074643e+00
RHOF-201	28.762680	365	1.500000e-05	3.260625e-02	low expression survived longer	2.517591e-01	2.262916e+00	1.213750e+00	1.069187e+00
KRT18P28-201	28.485586	350	1.500000e-05	3.260625e-02	low expression survived longer	2.689544e-01	1.772983e+00	1.327913e+00	1.123235e+00
KYNU-201	28.559034	355	1.500000e-05	3.260625e-02	low expression survived longer	2.846474e-01	1.363636e+00	1.239352e+00	1.082181e+00
ASPH-226	28.012194	367	1.600000e-05	3.273412e-02	low expression survived longer	2.457376e-01	2.224242e+00	1.330246e+00	1.108124e+00
CLCN1-201	28.295117	364	1.600000e-05	3.273412e-02	low expression survived longer	2.476189e-01	1.583264e+00	1.192624e+00	1.131379e+00
UCK2-201	27.898923	334	1.700000e-05	3.378629e-02	low expression survived longer	3.245847e-01	1.491071e+00	1.136054e+00	1.073805e+00
PSMB7-202	27.762467	365	1.900000e-05	3.671222e-02	low expression survived longer	2.650461e-01	1.325131e+00	1.111788e+00	1.089552e+00
AHNAK2-204	27.599739	342	2.000000e-05	3.760000e-02	low expression survived longer	2.966968e-01	1.838710e+00	1.210056e+00	1.096644e+00
CBX5-201	27.451375	363	2.300000e-05	4.110364e-02	low expression survived longer	2.674615e-01	1.556032e+00	1.172111e+00	1.091879e+00
ATP5J-202	27.306460	350	2.400000e-05	4.110364e-02	low expression survived longer	2.955291e-01	1.681449e+00	1.327913e+00	1.070549e+00
INPP5J-211	27.232032	65	2.500000e-05	4.110364e-02	high expression survived longer	3.490266e+00	6.804819e-01	9.839540e-01	9.564033e-01
SMC2-201	27.071440	260	2.600000e-05	4.110364e-02	low expression survived longer	3.917781e-01	1.447303e+00	1.275436e+00	1.126850e+00
INTS7-202	27.084614	311	2.600000e-05	4.110364e-02	low expression survived longer	3.451831e-01	1.891315e+00	1.343162e+00	1.098805e+00
RPSA-203	27.105654	361	2.600000e-05	4.110364e-02	low expression survived longer	2.703192e-01	1.597988e+00	1.165200e+00	1.094134e+00
RHOV-201	27.160651	350	2.600000e-05	4.110364e-02	low expression survived longer	2.858116e-01	1.592647e+00	1.236172e+00	1.105558e+00
PKP2-202	27.067138	334	2.700000e-05	4.173600e-02	low expression survived longer	3.357205e-01	1.342610e+00	1.110525e+00	1.043315e+00
CACYBP-201	26.835056	346	2.800000e-05	4.234087e-02	low expression survived longer	3.217705e-01	1.341085e+00	1.027214e+00	1.092407e+00
TLE1-201	26.761108	148	3.000000e-05	4.440000e-02	low expression survived longer	4.216602e-01	1.876056e+00	1.261278e+00	1.119141e+00
SQOR-208	26.594965	365	3.500000e-05	4.910118e-02	low expression survived longer	2.574231e-01	1.815920e+00	1.283504e+00	1.069187e+00
SEC61G-201	26.587348	356	3.500000e-05	4.910118e-02	low expression survived longer	3.062602e-01	1.301170e+00	1.164857e+00	1.044251e+00
KCTD3-201	26.356239	346	3.600000e-05	4.910118e-02	low expression survived longer	3.222301e-01	1.760174e+00	1.165205e+00	1.025536e+00
ANLN-201	26.352273	367	3.600000e-05	4.910118e-02	low expression survived longer	2.659352e-01	1.469547e+00	1.222363e+00	1.087148e+00
FAM83B-201	26.169405	349	3.800000e-05	5.023778e-02	low expression survived longer	3.049395e-01	1.401606e+00	1.217789e+00	1.054629e+00
EIF5A-208	26.127900	353	3.900000e-05	5.023778e-02	low expression survived longer	3.053948e-01	1.489451e+00	1.081812e+00	1.084552e+00
LTBP1-203	26.126593	345	3.900000e-05	5.023778e-02	low expression survived longer	3.088637e-01	1.246305e+00	1.204991e+00	1.110345e+00
CSNK1E-211	26.085997	307	4.000000e-05	5.058909e-02	low expression survived longer	3.631435e-01	1.309867e+00	1.357263e+00	1.089504e+00
AC116050.1-205	25.947908	345	4.200000e-05	5.217000e-02	low expression survived longer	3.259358e-01	1.647215e+00	1.176582e+00	1.093481e+00
POLM-212	25.872570	365	4.300000e-05	5.247509e-02	low expression survived longer	2.510839e-01	1.712154e+00	1.577767e+00	1.110045e+00
E2F7-201	25.764052	364	4.400000e-05	5.276966e-02	low expression survived longer	2.831786e-01	1.583264e+00	1.226716e+00	1.070588e+00
PLIN3-201	25.579795	360	4.600000e-05	5.423322e-02	low expression survived longer	2.786336e-01	1.666667e+00	1.178010e+00	1.095238e+00
DTL-201	25.529003	330	5.000000e-05	5.457785e-02	low expression survived longer	3.450257e-01	1.343891e+00	1.309524e+00	1.063505e+00
LDHA-206	25.545948	361	5.000000e-05	5.457785e-02	low expression survived longer	2.962693e-01	1.694836e+00	1.100770e+00	1.074643e+00
CDK1-204	25.538728	263	5.000000e-05	5.457785e-02	low expression survived longer	4.154312e-01	1.251073e+00	1.048512e+00	1.111581e+00
GJB3-201	25.491270	364	5.100000e-05	5.457785e-02	low expression survived longer	2.602360e-01	1.682353e+00	1.226716e+00	1.110988e+00
SLC2A1-203	25.462351	297	5.100000e-05	5.457785e-02	low expression survived longer	3.944904e-01	1.414286e+00	1.086076e+00	1.061776e+00
CISD2-201	25.513964	231	5.100000e-05	5.457785e-02	low expression survived longer	4.282172e-01	1.708350e+00	1.092266e+00	1.113892e+00
ARHGAP11A-201	25.392290	322	5.300000e-05	5.502507e-02	low expression survived longer	3.710719e-01	1.280682e+00	1.136471e+00	1.030730e+00
HSDL1-206	25.429941	142	5.300000e-05	5.502507e-02	high expression survived longer	2.533312e+00	6.958258e-01	9.731122e-01	9.456699e-01
SLC4A5-208	25.323877	79	5.500000e-05	5.506833e-02	high expression survived longer	3.062876e+00	8.598479e-01	1.096601e+00	9.069629e-01
GPR82-201	25.275405	70	5.700000e-05	5.506833e-02	high expression survived longer	3.293684e+00	5.801105e-01	9.767672e-01	9.316926e-01
SMOX-202	25.257798	359	5.700000e-05	5.506833e-02	low expression survived longer	3.037150e-01	1.366058e+00	1.126998e+00	1.096327e+00
GAPDH-204	25.172490	336	5.700000e-05	5.506833e-02	low expression survived longer	3.404122e-01	1.305970e+00	1.166667e+00	1.087031e+00
LDHA-201	25.193421	341	5.700000e-05	5.506833e-02	low expression survived longer	3.326090e-01	1.476190e+00	1.249084e+00	1.065273e+00
RARG-201	25.133758	361	5.900000e-05	5.546000e-02	low expression survived longer	2.946673e-01	1.794532e+00	1.165200e+00	1.055275e+00
CKS1B-203	25.162845	332	5.900000e-05	5.546000e-02	low expression survived longer	3.637731e-01	1.452500e+00	9.850549e-01	1.061031e+00
PPIA-201	25.101097	312	6.000000e-05	5.564800e-02	low expression survived longer	3.850316e-01	1.258065e+00	1.118788e+00	1.070588e+00
CD109-202	24.958564	340	6.400000e-05	5.723291e-02	low expression survived longer	3.255118e-01	1.971014e+00	1.375126e+00	1.066530e+00
GNPNAT1-205	24.972388	272	6.400000e-05	5.723291e-02	low expression survived longer	4.090428e-01	1.366667e+00	1.125352e+00	1.089744e+00
APOL2-209	24.883027	353	6.500000e-05	5.723291e-02	low expression survived longer	2.839538e-01	1.760261e+00	1.325775e+00	1.102581e+00
CD109-201	24.871345	345	6.500000e-05	5.723291e-02	low expression survived longer	3.217419e-01	1.918799e+00	1.233716e+00	1.043557e+00
NEMP2-205	24.778483	364	7.000000e-05	6.086500e-02	low expression survived longer	2.731246e-01	1.583264e+00	1.125490e+00	1.090725e+00
TACC3-201	24.721075	305	7.400000e-05	6.354864e-02	low expression survived longer	3.898576e-01	1.343254e+00	1.118746e+00	1.078443e+00
RALGPS2-204	24.587710	355	7.700000e-05	6.476276e-02	low expression survived longer	2.989701e-01	1.720295e+00	1.239352e+00	1.063936e+00
ZNF28-204	24.490580	350	8.000000e-05	6.476276e-02	low expression survived longer	3.042182e-01	1.262453e+00	1.236172e+00	1.105558e+00
LAMB1-201	24.449203	360	8.100000e-05	6.476276e-02	low expression survived longer	2.953176e-01	1.764706e+00	1.276596e+00	1.075949e+00
S100A16-204	24.419633	278	8.100000e-05	6.476276e-02	low expression survived longer	4.187920e-01	1.805195e+00	1.237848e+00	1.024172e+00
GOLM1-207	24.434029	354	8.100000e-05	6.476276e-02	low expression survived longer	2.818203e-01	1.787879e+00	1.251143e+00	1.119880e+00
UCK2-208	24.419282	367	8.100000e-05	6.476276e-02	low expression survived longer	2.842908e-01	1.568376e+00	1.152276e+00	1.066302e+00
DSC2-202	24.226386	323	8.500000e-05	6.569556e-02	low expression survived longer	3.571313e-01	1.904980e+00	1.300962e+00	1.057574e+00
MKKS-204	24.238765	357	8.500000e-05	6.569556e-02	low expression survived longer	2.838322e-01	1.680000e+00	1.215319e+00	1.136258e+00
AHNAK2-201	24.249473	327	8.500000e-05	6.569556e-02	low expression survived longer	3.345730e-01	1.660952e+00	1.367247e+00	1.111459e+00
HTATIP2-204	24.077335	361	9.200000e-05	6.695963e-02	low expression survived longer	3.206702e-01	1.070423e+00	1.132818e+00	1.055275e+00
TRIM7-207	23.960987	351	9.700000e-05	6.695963e-02	low expression survived longer	3.213873e-01	1.707071e+00	1.224638e+00	1.069264e+00
ABCC6-204	23.932532	85	9.800000e-05	6.695963e-02	high expression survived longer	2.988997e+00	7.794079e-01	9.594140e-01	9.457192e-01
ABCC6-210	23.932532	85	9.800000e-05	6.695963e-02	high expression survived longer	2.988997e+00	7.794079e-01	9.594140e-01	9.457192e-01
ITGB1-204	23.910897	367	9.800000e-05	6.695963e-02	low expression survived longer	3.008671e-01	1.373389e+00	1.117766e+00	1.024994e+00
RRM2-201	23.842380	312	9.800000e-05	6.695963e-02	low expression survived longer	3.870276e-01	1.454237e+00	1.141463e+00	1.084133e+00
GAPDH-202	23.881715	337	9.800000e-05	6.695963e-02	low expression survived longer	3.648724e-01	1.114887e+00	1.052516e+00	1.054623e+00
MYO1E-210	23.869472	356	9.800000e-05	6.695963e-02	low expression survived longer	2.999286e-01	1.472180e+00	1.259196e+00	1.080972e+00
KIF14-201	23.899042	325	9.800000e-05	6.695963e-02	low expression survived longer	3.677555e-01	1.543588e+00	1.254967e+00	1.055091e+00
DSG2-201	23.830959	307	9.900000e-05	6.695963e-02	low expression survived longer	3.768775e-01	1.728296e+00	1.235822e+00	1.076225e+00
